"Sub.ID","Encoding","Group","Direction","JOL","Scored"
10,"RL","JOL B","B",90,1
10,"RL","JOL B","B",95,0
10,"RL","JOL B","B",93,0
10,"RL","JOL B","B",70,1
10,"RL","JOL B","B",98,0
10,"RL","JOL B","S",98,1
10,"RL","JOL B","S",78,1
10,"RL","JOL B","S",78,1
10,"RL","JOL B","S",89,1
10,"RL","JOL B","S",98,1
10,"RL","JOL B","S",76,1
10,"RL","JOL B","S",89,1
10,"RL","JOL B","S",89,0
10,"RL","JOL B","S",98,1
10,"RL","JOL B","S",87,1
10,"RL","JOL B","S",87,1
10,"RL","JOL B","S",87,1
10,"RL","JOL B","S",98,1
10,"RL","JOL B","S",78,1
10,"RL","JOL B","S",87,1
10,"RL","JOL B","S",98,1
10,"RL","JOL B","S",89,1
10,"RL","JOL B","S",98,1
10,"RL","JOL B","S",98,1
10,"RL","JOL B","S",88,0
10,"RL","JOL B","U",78,1
10,"RL","JOL B","U",78,1
10,"RL","JOL B","U",78,0
10,"RL","JOL B","U",45,1
10,"RL","JOL B","U",98,0
10,"RL","JOL B","U",78,1
10,"RL","JOL B","U",98,0
10,"RL","JOL B","U",12,0
10,"RL","JOL B","U",56,0
10,"RL","JOL B","U",31,1
10,"RL","JOL B","U",78,1
10,"RL","JOL B","U",98,0
10,"RL","JOL B","U",78,1
10,"RL","JOL B","U",43,0
10,"RL","JOL B","U",26,0
10,"RL","JOL B","U",87,1
10,"RL","JOL B","U",87,0
10,"RL","JOL B","U",97,1
10,"RL","JOL B","U",98,1
10,"RL","JOL B","U",89,0
11,"RL","JOL C","F",100,0
11,"RL","JOL C","F",100,0
11,"RL","JOL C","F",0,0
11,"RL","JOL C","F",0,0
11,"RL","JOL C","F",1000,0
11,"RL","JOL C","F",0,0
11,"RL","JOL C","F",0,0
11,"RL","JOL C","F",0,1
11,"RL","JOL C","F",100,0
11,"RL","JOL C","F",100,1
11,"RL","JOL C","F",100,0
11,"RL","JOL C","F",100,1
11,"RL","JOL C","F",100,0
11,"RL","JOL C","F",100,0
