Subject,B0,B10,B20,B30,B40,B50,B60,B70,B80,B90,B100,F0,F10,F20,F30,F40,F50,F60,F70,F80,F90,F100,S0,S10,S20,S30,S40,S50,S60,S70,S80,S90,S100,U0,U10,U20,U30,U40,U50,U60,U70,U80,U90,U100,Group
91,100,0,0,0,100,100,0,0,50,77.77777778,100,0,0,0,100,0,0,100,100,50,44.44444444,0,0,0,0,0,0,0,0,100,80,85.71428571,100,0,0,0,0,50,0,0,0,0,100,0,IS
92,0,0,100,0,0,33.33333333,100,100,33.33333333,80,0,0,100,0,0,100,100,100,100,100,100,100,0,50,0,0,0,100,100,100,100,80,100,0,0,0,0,0,0,0,0,0,0,0,IS
101,0,0,0,100,33.33333333,83.33333333,50,100,0,100,0,0,0,0,0,0,100,100,57.14285714,66.66666667,100,0,0,0,0,0,0,33.33333333,80,100,80,66.66666667,0,0,0,0,0,0,0,0,0,0,0,0,IS
102,0,0,0,50,100,75,25,0,0,0,0,0,0,0,50,100,85.71428571,100,100,50,100,0,0,0,80,100,100,50,100,0,100,100,0,0,9.090909091,40,50,0,0,0,0,0,0,0,IS
9,0,0,0,0,100,75,75,100,100,0,0,0,0,0,0,66.66666667,100,100,100,100,0,100,0,0,0,0,50,50,0,75,60,100,50,0,0,0,20,0,0,0,0,0,0,0,RL
10,0,0,0,0,0,0,0,100,100,50,18.18181818,0,0,0,0,0,0,0,100,66.66666667,100,80,0,0,0,0,0,0,0,0,100,77.77777778,100,0,0,0,50,0,100,0,0,83.33333333,33.33333333,40,RL
11,60,0,0,0,0,0,0,0,0,0,70,33.33333333,0,0,0,0,0,0,0,0,0,38.46153846,0,0,0,0,0,0,0,0,0,0,60,11.76470588,0,0,0,0,0,0,0,0,0,0,RL
12,0,0,0,0,0,0,100,20,20,33.33333333,0,100,0,0,0,0,0,50,100,62.5,0,0,100,0,0,0,0,100,100,57.14285714,80,100,100,0,0,0,0,0,0,25,100,0,0,0,RL
21,0,100,0,0,0,0,0,100,80,0,72.72727273,0,0,0,0,0,0,100,100,100,100,88.88888889,0,0,0,0,0,0,0,0,100,100,100,100,100,0,100,100,100,100,100,100,100,100,RL
22,0,0,0,0,25,33.33333333,0,0,0,0,33.33333333,0,100,0,100,100,83.33333333,100,100,0,0,100,0,0,0,0,100,66.66666667,100,100,0,0,83.33333333,16.66666667,0,100,0,0,60,0,100,0,0,0,RL
23,0,0,0,0,0,0,0,0,0,80,92.85714286,0,0,0,0,0,0,100,0,0,100,69.23076923,0,0,0,0,100,100,0,0,83.33333333,50,100,0,50,75,75,25,100,0,0,0,0,0,RL
24,0,0,0,0,0,0,0,0,50,75,75,0,0,0,0,0,100,0,100,100,100,77.77777778,0,0,0,100,0,66.66666667,0,100,100,100,88.88888889,0,25,50,80,100,100,50,100,0,0,0,RL
33,0,0,0,0,0,100,75,75,60,0,0,0,0,0,0,0,50,100,100,0,0,0,0,0,0,100,100,0,40,100,85.71428571,100,0,0,0,40,0,0,0,66.66666667,0,100,0,0,RL
34,0,0,0,50,25,100,100,100,50,50,100,0,0,100,100,0,100,100,100,100,100,100,0,0,0,100,100,0,100,100,100,0,90,0,50,0,50,100,0,0,0,0,0,0,RL
35,0,0,0,0,0,100,0,100,100,92.30769231,0,0,0,0,0,0,0,100,100,100,62.5,50,0,0,0,0,0,0,0,50,40,85.71428571,50,0,0,0,100,0,100,0,100,100,36.36363636,66.66666667,RL
36,0,0,0,100,100,33.33333333,100,85.71428571,100,100,0,0,0,100,0,100,100,100,66.66666667,100,100,0,0,0,0,0,100,0,100,100,100,100,100,0,0,100,100,0,100,100,100,100,100,0,RL
45,0,0,0,0,100,100,100,50,80,83.33333333,0,0,0,0,0,100,100,100,100,100,75,66.66666667,0,0,0,0,100,100,100,75,100,100,100,0,0,66.66666667,0,100,25,0,33.33333333,50,66.66666667,0,RL
46,0,0,100,100,66.66666667,50,100,0,66.66666667,100,100,0,0,100,100,100,100,100,100,100,100,0,0,0,100,100,100,100,100,100,100,0,100,0,66.66666667,100,83.33333333,100,66.66666667,100,100,100,0,0,RL
47,0,100,100,100,100,0,50,66.66666667,50,100,100,0,0,100,100,0,0,100,0,100,50,50,0,0,0,0,0,50,100,83.33333333,100,100,80,0,25,100,100,0,100,100,0,50,40,33.33333333,RL
48,0,0,100,0,50,100,25,25,75,50,0,0,100,50,100,100,50,100,100,100,100,100,0,0,0,0,66.66666667,75,100,85.71428571,100,100,0,0,0,0,100,0,75,50,33.33333333,66.66666667,0,0,RL
57,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,80,100,100,100,100,0,0,0,0,0,100,100,100,0,100,0,0,0,100,100,66.66666667,100,100,100,0,0,0,RL
58,0,0,0,100,0,100,100,33.33333333,100,88.88888889,0,0,0,0,0,0,100,100,83.33333333,100,80,100,0,0,0,0,100,100,100,100,100,100,0,0,0,75,85.71428571,100,100,0,100,0,0,0,RL
