Sub.ID,Encoding,Group,Direction,JOL,Scored,Experiment
6,IS,JOL B,B,40,1,2
6,IS,JOL B,B,20,1,2
6,IS,JOL B,B,8,1,2
6,IS,JOL B,B,25,1,2
6,IS,JOL B,B,30,1,2
6,IS,JOL B,B,80,1,2
6,IS,JOL B,B,30,1,2
6,IS,JOL B,B,18,1,2
6,IS,JOL B,B,80,0,2
6,IS,JOL B,B,80,1,2
6,IS,JOL B,B,8,1,2
6,IS,JOL B,B,20,1,2
6,IS,JOL B,B,20,1,2
6,IS,JOL B,S,5,1,2
6,IS,JOL B,S,5,1,2
6,IS,JOL B,S,90,1,2
6,IS,JOL B,S,30,1,2
6,IS,JOL B,S,10,1,2
6,IS,JOL B,S,30,1,2
6,IS,JOL B,S,70,1,2
6,IS,JOL B,S,30,1,2
6,IS,JOL B,S,30,1,2
6,IS,JOL B,S,1,1,2
6,IS,JOL B,S,8,1,2
6,IS,JOL B,S,20,1,2
6,IS,JOL B,S,40,1,2
6,IS,JOL B,S,5,0,2
6,IS,JOL B,S,15,1,2
6,IS,JOL B,S,20,1,2
6,IS,JOL B,S,20,1,2
6,IS,JOL B,S,1,0,2
6,IS,JOL B,S,8,1,2
6,IS,JOL B,S,70,1,2
6,IS,JOL B,U,0,1,2
6,IS,JOL B,U,35,1,2
6,IS,JOL B,U,15,1,2
6,IS,JOL B,U,1,1,2
6,IS,JOL B,U,1,0,2
6,IS,JOL B,U,2,1,2
6,IS,JOL B,U,0,0,2
6,IS,JOL B,U,1,1,2
6,IS,JOL B,U,1,0,2
6,IS,JOL B,U,2,1,2
6,IS,JOL B,U,1,0,2
6,IS,JOL B,U,5,1,2
6,IS,JOL B,U,1,1,2
6,IS,JOL B,U,0,1,2
6,IS,JOL B,U,0,0,2
6,IS,JOL B,U,1,1,2
6,IS,JOL B,U,0,0,2
6,IS,JOL B,U,10,1,2
6,IS,JOL B,U,6,1,2
6,IS,JOL B,U,0,0,2
7,IS,JOL C,F,25,1,2
7,IS,JOL C,F,25,1,2
7,IS,JOL C,F,50,0,2
7,IS,JOL C,F,50,1,2
7,IS,JOL C,F,0,0,2
7,IS,JOL C,F,25,0,2
7,IS,JOL C,F,100,1,2
7,IS,JOL C,F,50,1,2
7,IS,JOL C,F,75,1,2
7,IS,JOL C,F,100,1,2
7,IS,JOL C,F,25,1,2
7,IS,JOL C,F,100,0,2
7,IS,JOL C,F,50,0,2
7,IS,JOL C,F,75,1,2
7,IS,JOL C,F,100,1,2
7,IS,JOL C,F,75,1,2
7,IS,JOL C,F,50,1,2
7,IS,JOL C,F,25,1,2
7,IS,JOL C,F,75,1,2
7,IS,JOL C,F,100,1,2
7,IS,JOL C,B,75,1,2
7,IS,JOL C,B,75,1,2
7,IS,JOL C,B,50,1,2
7,IS,JOL C,B,75,1,2
7,IS,JOL C,B,50,1,2
7,IS,JOL C,B,50,1,2
7,IS,JOL C,B,25,1,2
7,IS,JOL C,B,50,1,2
7,IS,JOL C,B,25,1,2
7,IS,JOL C,B,50,1,2
7,IS,JOL C,B,75,1,2
7,IS,JOL C,B,50,1,2
7,IS,JOL C,B,0,1,2
7,IS,JOL C,B,50,1,2
7,IS,JOL C,B,100,1,2
7,IS,JOL C,B,50,1,2
7,IS,JOL C,B,75,1,2
7,IS,JOL C,B,50,1,2
7,IS,JOL C,B,100,1,2
7,IS,JOL C,B,25,1,2
7,IS,JOL C,S,100,1,2
7,IS,JOL C,S,75,0,2
7,IS,JOL C,S,50,1,2
7,IS,JOL C,S,75,1,2
7,IS,JOL C,S,50,1,2
7,IS,JOL C,S,75,1,2
7,IS,JOL C,S,100,1,2
7,IS,JOL C,S,75,1,2
7,IS,JOL C,S,100,1,2
7,IS,JOL C,S,75,1,2
7,IS,JOL C,S,100,1,2
7,IS,JOL C,S,75,1,2
7,IS,JOL C,S,100,1,2
7,IS,JOL C,S,100,1,2
7,IS,JOL C,S,100,1,2
7,IS,JOL C,S,100,1,2
7,IS,JOL C,S,25,1,2
7,IS,JOL C,S,100,1,2
7,IS,JOL C,S,100,1,2
7,IS,JOL C,S,75,1,2
7,IS,JOL C,U,0,0,2
7,IS,JOL C,U,25,0,2
7,IS,JOL C,U,25,0,2
7,IS,JOL C,U,50,0,2
7,IS,JOL C,U,25,0,2
7,IS,JOL C,U,25,0,2
7,IS,JOL C,U,50,0,2
7,IS,JOL C,U,0,0,2
7,IS,JOL C,U,0,0,2
7,IS,JOL C,U,75,1,2
7,IS,JOL C,U,0,1,2
7,IS,JOL C,U,50,0,2
7,IS,JOL C,U,50,0,2
7,IS,JOL C,U,75,1,2
7,IS,JOL C,U,75,0,2
7,IS,JOL C,U,50,0,2
7,IS,JOL C,U,0,0,2
7,IS,JOL C,U,25,1,2
7,IS,JOL C,U,25,0,2
7,IS,JOL C,U,25,1,2
8,IS,JOL D,B,35,0,2
8,IS,JOL D,B,55,1,2
8,IS,JOL D,B,65,0,2
8,IS,JOL D,B,35,1,2
8,IS,JOL D,B,65,1,2
8,IS,JOL D,B,60,0,2
8,IS,JOL D,B,65,1,2
8,IS,JOL D,B,45,1,2
8,IS,JOL D,B,85,0,2
8,IS,JOL D,B,65,1,2
8,IS,JOL D,B,45,1,2
8,IS,JOL D,B,35,1,2
8,IS,JOL D,B,65,1,2
8,IS,JOL D,B,75,1,2
8,IS,JOL D,B,65,1,2
8,IS,JOL D,B,65,0,2
8,IS,JOL D,B,75,0,2
8,IS,JOL D,B,35,1,2
8,IS,JOL D,B,35,1,2
