Subject,type,Group,Direction,Bin,Recall
16,READ,JOL D,U,10,0
16,READ,JOL D,U,10,0
16,READ,JOL D,U,0,0
16,READ,JOL D,U,10,0
16,READ,JOL D,U,0,0
16,READ,JOL D,U,0,100
16,READ,JOL D,U,10,0
16,READ,JOL D,U,30,0
16,READ,JOL D,U,0,0
16,READ,JOL D,U,0,0
25,READ,JOL A,F,90,0
25,READ,JOL A,F,80,100
25,READ,JOL A,F,80,100
25,READ,JOL A,F,90,100
25,READ,JOL A,F,30,0
25,READ,JOL A,F,90,100
25,READ,JOL A,F,100,100
25,READ,JOL A,F,90,100
25,READ,JOL A,F,80,100
25,READ,JOL A,F,70,0
25,READ,JOL A,F,100,0
25,READ,JOL A,F,100,100
25,READ,JOL A,F,100,100
25,READ,JOL A,F,100,100
25,READ,JOL A,F,90,100
25,READ,JOL A,F,80,0
25,READ,JOL A,F,70,100
25,READ,JOL A,F,100,0
25,READ,JOL A,F,60,100
25,READ,JOL A,F,100,100
25,READ,JOL A,B,100,0
25,READ,JOL A,B,70,0
25,READ,JOL A,B,80,100
25,READ,JOL A,B,90,0
25,READ,JOL A,B,100,0
25,READ,JOL A,B,80,100
25,READ,JOL A,B,100,100
25,READ,JOL A,B,90,0
25,READ,JOL A,B,100,0
25,READ,JOL A,B,90,100
25,READ,JOL A,B,40,0
25,READ,JOL A,B,70,100
25,READ,JOL A,B,90,0
25,READ,JOL A,B,50,0
25,READ,JOL A,B,80,0
25,READ,JOL A,B,100,100
25,READ,JOL A,B,80,0
25,READ,JOL A,B,100,0
25,READ,JOL A,B,90,100
25,READ,JOL A,B,90,100
25,READ,JOL A,S,30,0
25,READ,JOL A,S,100,0
25,READ,JOL A,S,80,0
25,READ,JOL A,S,100,0
25,READ,JOL A,S,100,0
25,READ,JOL A,S,100,0
25,READ,JOL A,S,80,0
25,READ,JOL A,S,90,100
25,READ,JOL A,S,100,0
25,READ,JOL A,S,100,0
25,READ,JOL A,S,50,0
25,READ,JOL A,S,90,100
25,READ,JOL A,S,40,0
25,READ,JOL A,S,100,100
25,READ,JOL A,S,70,0
25,READ,JOL A,S,100,100
25,READ,JOL A,S,100,0
25,READ,JOL A,S,100,0
25,READ,JOL A,S,100,0
25,READ,JOL A,S,100,100
25,READ,JOL A,U,20,0
25,READ,JOL A,U,20,0
25,READ,JOL A,U,20,0
25,READ,JOL A,U,20,0
25,READ,JOL A,U,10,0
25,READ,JOL A,U,10,0
25,READ,JOL A,U,10,0
25,READ,JOL A,U,0,0
25,READ,JOL A,U,10,100
25,READ,JOL A,U,60,0
25,READ,JOL A,U,90,0
25,READ,JOL A,U,50,0
25,READ,JOL A,U,10,0
25,READ,JOL A,U,10,0
25,READ,JOL A,U,20,0
25,READ,JOL A,U,30,0
25,READ,JOL A,U,10,0
25,READ,JOL A,U,10,0
25,READ,JOL A,U,70,0
25,READ,JOL A,U,30,0
26,READ,JOL B,F,60,0
26,READ,JOL B,F,50,0
26,READ,JOL B,F,0,0
26,READ,JOL B,F,0,0
26,READ,JOL B,F,10,0
26,READ,JOL B,F,0,0
26,READ,JOL B,F,80,100
26,READ,JOL B,F,60,0
26,READ,JOL B,F,100,100
26,READ,JOL B,F,100,0
26,READ,JOL B,F,100,0
26,READ,JOL B,F,100,100
26,READ,JOL B,F,20,100
26,READ,JOL B,F,100,100
26,READ,JOL B,F,60,100
26,READ,JOL B,F,80,0
26,READ,JOL B,F,0,0
26,READ,JOL B,F,70,100
26,READ,JOL B,F,100,0
26,READ,JOL B,F,100,100
26,READ,JOL B,B,40,0
26,READ,JOL B,B,100,0
26,READ,JOL B,B,100,0
26,READ,JOL B,B,100,0
26,READ,JOL B,B,50,0
26,READ,JOL B,B,0,0
26,READ,JOL B,B,20,0
26,READ,JOL B,B,100,0
26,READ,JOL B,B,100,100
26,READ,JOL B,B,100,0
26,READ,JOL B,B,90,0
26,READ,JOL B,B,100,0
26,READ,JOL B,B,0,0
26,READ,JOL B,B,100,100
26,READ,JOL B,B,80,0
26,READ,JOL B,B,100,100
26,READ,JOL B,B,50,0
26,READ,JOL B,B,100,0
26,READ,JOL B,B,90,100
26,READ,JOL B,B,30,0
26,READ,JOL B,S,60,0
26,READ,JOL B,S,100,0
26,READ,JOL B,S,60,0
26,READ,JOL B,S,100,0
26,READ,JOL B,S,30,0
26,READ,JOL B,S,90,0
26,READ,JOL B,S,100,100
26,READ,JOL B,S,100,0
26,READ,JOL B,S,100,0
26,READ,JOL B,S,100,100
26,READ,JOL B,S,100,100
26,READ,JOL B,S,100,0
26,READ,JOL B,S,100,100
26,READ,JOL B,S,100,0
26,READ,JOL B,S,60,0
26,READ,JOL B,S,60,0
26,READ,JOL B,S,100,0
26,READ,JOL B,S,100,0
26,READ,JOL B,S,20,0
26,READ,JOL B,S,100,0
26,READ,JOL B,U,30,0
26,READ,JOL B,U,50,0
26,READ,JOL B,U,0,0
26,READ,JOL B,U,0,0
26,READ,JOL B,U,40,0
26,READ,JOL B,U,40,0
26,READ,JOL B,U,100,0
26,READ,JOL B,U,60,0
26,READ,JOL B,U,50,0
26,READ,JOL B,U,0,0
26,READ,JOL B,U,100,0
26,READ,JOL B,U,80,0
26,READ,JOL B,U,50,0
26,READ,JOL B,U,100,0
